pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Oral candidiasis,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Compression fracture,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Corneal erosion,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Posterior reversible encephalopathy syndrome,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Discouragement,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Oral discomfort,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Paraesthesia oral,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Incorrect drug administration rate,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Cystitis haemorrhagic,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Inappropriate antidiuretic hormone secretion,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Respiratory syncytial virus test positive,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Hypoacusis,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Feeling abnormal,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Feeling hot,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Duodenal perforation,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Inflammation,trial_aligned_chemo,2,180,1,939,182,940,10.433333333333334,0.9410247626827718,115.67649307560285,10.32967032967033,2.525592059529085,1.341345548714603,-2.0205655010817436,0.48663101604278075,3.5440579997858714,1.5306056027834278,False,False,False,False,False,False
Somnolence,trial_aligned_chemo,2,180,1,939,182,940,10.433333333333334,0.9410247626827718,115.67649307560285,10.32967032967033,2.525592059529085,1.341345548714603,-2.0205655010817436,0.48663101604278075,3.5440579997858714,1.5306056027834278,False,False,False,False,False,False
Cough,trial_aligned_chemo,5,177,3,937,182,940,8.822975517890772,2.0896407125459184,37.252766239636216,8.608058608058608,9.500202705517676,1.6132932106331286,-0.8160296300163303,1.2976827094474153,3.603460933597715,1.9011516655635194,True,True,False,False,False,False
Constipation,trial_aligned_chemo,3,179,2,938,182,940,7.860335195530726,1.3040496310913003,47.37923152080803,7.747252747252747,4.216856930189565,1.416630351411567,-1.4787571269568884,0.8110516934046346,3.4471563048999614,1.621607743240395,True,True,False,False,False,False
Malaise,trial_aligned_chemo,7,175,5,935,182,940,7.48,2.3473242883913694,23.8358203324105,7.230769230769232,12.85171824940442,1.6161571223247504,-0.4657478456133919,1.946524064171123,3.4777542984796277,1.9779426043342718,True,True,False,False,False,False
Dyspnoea,trial_aligned_chemo,7,175,7,933,182,940,5.331428571428572,1.8470438798804454,15.388985027299256,5.164835164835165,9.519151806778472,1.4365126548762472,-0.5513722798159868,2.270944741532977,3.104570212015433,1.7656973907492326,True,True,False,False,False,False
Pruritus,trial_aligned_chemo,4,178,4,936,182,940,5.258426966292135,1.3029964803154628,21.221127284345265,5.164835164835165,4.493284611197465,1.3237865934381439,-1.1711425775484374,1.2976827094474153,3.1160974307404734,1.5631053816897804,True,True,False,False,False,False
Cerebral haemorrhage,trial_aligned_chemo,2,180,2,938,182,940,5.211111111111111,0.7292888370311561,37.23583528700791,5.164835164835165,1.3375146993131712,1.121748507134504,-2.065442317312031,0.6488413547237076,3.1337843125298077,1.3534168534947062,False,False,False,False,False,False
Alopecia,trial_aligned_chemo,2,180,2,938,182,940,5.211111111111111,0.7292888370311561,37.23583528700791,5.164835164835165,1.3375146993131712,1.121748507134504,-2.065442317312031,0.6488413547237076,3.1337843125298077,1.3534168534947062,False,False,False,False,False,False
Oedema peripheral,trial_aligned_chemo,2,180,2,938,182,940,5.211111111111111,0.7292888370311561,37.23583528700791,5.164835164835165,1.3375146993131712,1.121748507134504,-2.065442317312031,0.6488413547237076,3.1337843125298077,1.3534168534947062,False,False,False,False,False,False
Hypersensitivity,trial_aligned_chemo,1,181,1,939,182,940,5.1878453038674035,0.32300001981986576,83.3242639175955,5.164835164835165,0.11362608658438828,0.8635099059262744,-3.0132410972796264,0.3244206773618538,3.1517932339586845,1.2055265740530312,False,False,False,False,False,False
